Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,% change during the day,VWAP,Total Traded Quantity,Turnover,No. of,Deliverable,% Dly Qt to
YESBANK,EQ,06-Dec-21,12.55,12.6,12.9,12.5,12.55,12.6,0.40%,12.71,"8,23,73,982","1,04,66,71,435.25","98,983","2,74,08,491",33.27
YESBANK,EQ,07-Dec-21,12.6,12.65,13.7,12.6,13.15,13.1,4.00%,13.26,"31,80,18,723","4,21,69,95,176.80","1,49,320","8,60,50,173",27.06
YESBANK,EQ,08-Dec-21,13.1,13.25,13.45,13.1,13.25,13.25,1.10%,13.26,"8,93,85,559","1,18,51,58,509.45","99,572","2,74,76,663",30.74
YESBANK,EQ,09-Dec-21,13.25,13.3,14.2,13.25,14,14,5.70%,13.89,"37,10,16,070","5,15,22,78,419.15","2,08,321","14,61,06,982",39.38
YESBANK,EQ,10-Dec-21,14,14.2,14.65,14.05,14.45,14.45,3.20%,14.39,"28,70,16,764","4,12,97,58,647.55","1,73,972","9,90,55,425",34.51
YESBANK,EQ,13-Dec-21,14.45,14.7,14.95,13.8,13.9,14,-3.10%,14.47,"25,59,50,390","3,70,32,41,975.85","1,66,293","8,52,57,407",33.31
YESBANK,EQ,14-Dec-21,14,13.8,14.2,13.7,13.9,13.95,-0.40%,13.95,"13,74,44,898","1,91,79,55,604.45","1,12,937","4,18,49,670",30.45
YESBANK,EQ,15-Dec-21,13.95,13.9,14.15,13.7,13.8,13.75,-1.40%,13.9,"11,35,29,974","1,57,78,15,072.10","1,00,314","3,31,74,746",29.22
YESBANK,EQ,16-Dec-21,13.75,13.9,14.05,13.3,13.5,13.4,-2.50%,13.57,"12,27,29,693","1,66,50,62,897.45","1,09,427","4,09,25,291",33.35
YESBANK,EQ,17-Dec-21,13.4,13.55,13.6,13.05,13.15,13.15,-1.90%,13.21,"11,14,05,508","1,47,15,22,788.90","1,04,705","4,28,14,858",38.43
YESBANK,EQ,20-Dec-21,13.15,13.05,13.05,12.55,12.8,12.75,-3.00%,12.76,"12,66,31,534","1,61,62,35,049.00","1,40,843","5,45,20,216",43.05
YESBANK,EQ,21-Dec-21,12.75,13.05,13.25,12.85,13.05,13,2.00%,13.06,"8,28,41,162","1,08,19,17,145.55","96,932","2,13,44,033",25.77
YESBANK,EQ,22-Dec-21,13,13.2,13.7,13.15,13.7,13.65,5.00%,13.46,"13,17,22,111","1,77,27,33,347.75","1,12,164","5,11,79,048",38.85
YESBANK,EQ,23-Dec-21,13.65,13.8,13.85,13.5,13.5,13.55,-0.70%,13.65,"7,13,13,187","97,31,89,359.40","96,293","2,45,36,656",34.41
YESBANK,EQ,24-Dec-21,13.55,13.6,13.65,13.15,13.3,13.25,-2.20%,13.31,"8,49,88,162","1,13,12,24,141.90","85,577","3,28,75,799",38.68
YESBANK,EQ,27-Dec-21,13.25,13.15,13.45,13.05,13.2,13.2,-0.40%,13.24,"6,23,29,124","82,54,11,837.05","1,00,485","1,93,16,481",30.99
YESBANK,EQ,28-Dec-21,13.2,13.25,13.6,13.2,13.55,13.45,1.90%,13.41,"9,70,31,374","1,30,08,75,134.60","1,06,614","2,61,86,300",26.99
YESBANK,EQ,29-Dec-21,13.45,13.5,14.15,13.45,13.9,13.9,3.30%,13.8,"12,59,63,208","1,73,86,42,836.20","1,15,581","5,66,52,999",44.98
YESBANK,EQ,30-Dec-21,13.9,13.9,13.95,13.5,13.65,13.55,-2.50%,13.69,"7,71,92,964","1,05,67,68,784.95","1,01,825","2,51,96,283",32.64
YESBANK,EQ,31-Dec-21,13.55,13.65,13.9,13.6,13.65,13.7,1.10%,13.72,"7,29,47,892","1,00,11,34,221.65","1,15,550","2,88,80,973",39.59
